,Ball 0,,,,,Ball 1,,,,,
,m:,10,,,,m:,10,,,,
,r:,1,,,,r:,1,,,,
,k:,900,,,,k:,900,,,,
,rot: ,true,,,,,,,,,
,u_k: ,0.5,,,,,,,,,
t,s_x,s_y,v_x,v_y,w,s_x,s_y,v_x,v_y,w,
0.368,0.596728,0,-1.85992e-006,0,0,2.60727,0,3,0,0,
0.369,0.596728,0,-1.85992e-006,0,0,2.61027,0,3,0,0,
0.37,0.596728,0,-1.85992e-006,0,0,2.61327,0,3,0,0,
0.371,0.596728,0,-1.85992e-006,0,0,2.61627,0,3,0,0,
0.372,0.596728,0,-1.85992e-006,0,0,2.61927,0,3,0,0,
0.373,0.596728,0,-1.85992e-006,0,0,2.62227,0,3,0,0,
0.374,0.596728,0,-1.85992e-006,0,0,2.62527,0,3,0,0,
0.375,0.596728,0,-1.85992e-006,0,0,2.62827,0,3,0,0,
0.376,0.596728,0,-1.85992e-006,0,0,2.63127,0,3,0,0,
0.377,0.596728,0,-1.85992e-006,0,0,2.63427,0,3,0,0,
0.378,0.596728,0,-1.85992e-006,0,0,2.63727,0,3,0,0,
0.379,0.596728,0,-1.85992e-006,0,0,2.64027,0,3,0,0,
0.38,0.596728,0,-1.85992e-006,0,0,2.64327,0,3,0,0,
0.381,0.596728,0,-1.85992e-006,0,0,2.64627,0,3,0,0,
0.382,0.596728,0,-1.85992e-006,0,0,2.64927,0,3,0,0,
0.383,0.596728,0,-1.85992e-006,0,0,2.65227,0,3,0,0,
0.384,0.596728,0,-1.85992e-006,0,0,2.65527,0,3,0,0,
0.385,0.596728,0,-1.85992e-006,0,0,2.65827,0,3,0,0,
0.386,0.596728,0,-1.85992e-006,0,0,2.66127,0,3,0,0,
0.387,0.596728,0,-1.85992e-006,0,0,2.66427,0,3,0,0,
0.388,0.596728,0,-1.85992e-006,0,0,2.66727,0,3,0,0,
0.389,0.596728,0,-1.85992e-006,0,0,2.67027,0,3,0,0,
0.39,0.596728,0,-1.85992e-006,0,0,2.67327,0,3,0,0,
0.391,0.596727,0,-1.85992e-006,0,0,2.67627,0,3,0,0,
0.392,0.596727,0,-1.85992e-006,0,0,2.67927,0,3,0,0,
0.393,0.596727,0,-1.85992e-006,0,0,2.68227,0,3,0,0,
0.394,0.596727,0,-1.85992e-006,0,0,2.68527,0,3,0,0,
0.395,0.596727,0,-1.85992e-006,0,0,2.68827,0,3,0,0,
0.396,0.596727,0,-1.85992e-006,0,0,2.69127,0,3,0,0,
0.397,0.596727,0,-1.85992e-006,0,0,2.69427,0,3,0,0,
0.398,0.596727,0,-1.85992e-006,0,0,2.69727,0,3,0,0,
0.399,0.596727,0,-1.85992e-006,0,0,2.70027,0,3,0,0,
0.4,0.596727,0,-1.85992e-006,0,0,2.70327,0,3,0,0,
0.401,0.596727,0,-1.85992e-006,0,0,2.70627,0,3,0,0,
0.402,0.596727,0,-1.85992e-006,0,0,2.70927,0,3,0,0,
0.403,0.596727,0,-1.85992e-006,0,0,2.71227,0,3,0,0,
0.404,0.596727,0,-1.85992e-006,0,0,2.71527,0,3,0,0,
0.405,0.596727,0,-1.85992e-006,0,0,2.71827,0,3,0,0,
0.406,0.596727,0,-1.85992e-006,0,0,2.72127,0,3,0,0,
0.407,0.596727,0,-1.85992e-006,0,0,2.72427,0,3,0,0,
0.408,0.596727,0,-1.85992e-006,0,0,2.72727,0,3,0,0,
0.409,0.596727,0,-1.85992e-006,0,0,2.73027,0,3,0,0,
0.41,0.596727,0,-1.85992e-006,0,0,2.73327,0,3,0,0,
0.411,0.596727,0,-1.85992e-006,0,0,2.73627,0,3,0,0,
0.412,0.596727,0,-1.85992e-006,0,0,2.73927,0,3,0,0,
0.413,0.596727,0,-1.85992e-006,0,0,2.74227,0,3,0,0,
0.414,0.596727,0,-1.85992e-006,0,0,2.74527,0,3,0,0,
0.415,0.596727,0,-1.85992e-006,0,0,2.74827,0,3,0,0,
0.416,0.596727,0,-1.85992e-006,0,0,2.75127,0,3,0,0,
0.417,0.596727,0,-1.85992e-006,0,0,2.75427,0,3,0,0,
0.418,0.596727,0,-1.85992e-006,0,0,2.75727,0,3,0,0,
0.419,0.596727,0,-1.85992e-006,0,0,2.76027,0,3,0,0,
0.42,0.596727,0,-1.85992e-006,0,0,2.76327,0,3,0,0,
0.421,0.596727,0,-1.85992e-006,0,0,2.76627,0,3,0,0,
0.422,0.596727,0,-1.85992e-006,0,0,2.76927,0,3,0,0,
0.423,0.596727,0,-1.85992e-006,0,0,2.77227,0,3,0,0,
0.424,0.596727,0,-1.85992e-006,0,0,2.77527,0,3,0,0,
0.425,0.596727,0,-1.85992e-006,0,0,2.77827,0,3,0,0,
0.426,0.596727,0,-1.85992e-006,0,0,2.78127,0,3,0,0,
0.427,0.596727,0,-1.85992e-006,0,0,2.78427,0,3,0,0,
0.428,0.596727,0,-1.85992e-006,0,0,2.78727,0,3,0,0,
0.429,0.596727,0,-1.85992e-006,0,0,2.79027,0,3,0,0,
0.43,0.596727,0,-1.85992e-006,0,0,2.79327,0,3,0,0,
0.431,0.596727,0,-1.85992e-006,0,0,2.79627,0,3,0,0,
0.432,0.596727,0,-1.85992e-006,0,0,2.79927,0,3,0,0,
0.433,0.596727,0,-1.85992e-006,0,0,2.80227,0,3,0,0,
0.434,0.596727,0,-1.85992e-006,0,0,2.80527,0,3,0,0,
0.435,0.596727,0,-1.85992e-006,0,0,2.80827,0,3,0,0,
0.436,0.596727,0,-1.85992e-006,0,0,2.81127,0,3,0,0,
0.437,0.596727,0,-1.85992e-006,0,0,2.81427,0,3,0,0,
0.438,0.596727,0,-1.85992e-006,0,0,2.81727,0,3,0,0,
0.439,0.596727,0,-1.85992e-006,0,0,2.82027,0,3,0,0,
0.44,0.596727,0,-1.85992e-006,0,0,2.82327,0,3,0,0,
0.441,0.596727,0,-1.85992e-006,0,0,2.82627,0,3,0,0,
0.442,0.596727,0,-1.85992e-006,0,0,2.82927,0,3,0,0,
0.443,0.596727,0,-1.85992e-006,0,0,2.83227,0,3,0,0,
0.444,0.596727,0,-1.85992e-006,0,0,2.83527,0,3,0,0,
0.445,0.596727,0,-1.85992e-006,0,0,2.83827,0,3,0,0,
0.446,0.596727,0,-1.85992e-006,0,0,2.84127,0,3,0,0,
0.447,0.596727,0,-1.85992e-006,0,0,2.84427,0,3,0,0,
0.448,0.596727,0,-1.85992e-006,0,0,2.84727,0,3,0,0,
0.449,0.596727,0,-1.85992e-006,0,0,2.85027,0,3,0,0,
0.45,0.596727,0,-1.85992e-006,0,0,2.85327,0,3,0,0,
0.451,0.596727,0,-1.85992e-006,0,0,2.85627,0,3,0,0,
0.452,0.596727,0,-1.85992e-006,0,0,2.85927,0,3,0,0,
0.453,0.596727,0,-1.85992e-006,0,0,2.86227,0,3,0,0,
0.454,0.596727,0,-1.85992e-006,0,0,2.86527,0,3,0,0,
0.455,0.596727,0,-1.85992e-006,0,0,2.86827,0,3,0,0,
0.456,0.596727,0,-1.85992e-006,0,0,2.87127,0,3,0,0,
0.457,0.596727,0,-1.85992e-006,0,0,2.87427,0,3,0,0,
0.458,0.596727,0,-1.85992e-006,0,0,2.87727,0,3,0,0,
0.459,0.596727,0,-1.85992e-006,0,0,2.88027,0,3,0,0,
0.46,0.596727,0,-1.85992e-006,0,0,2.88327,0,3,0,0,
0.461,0.596727,0,-1.85992e-006,0,0,2.88627,0,3,0,0,
0.462,0.596727,0,-1.85992e-006,0,0,2.88927,0,3,0,0,
0.463,0.596727,0,-1.85992e-006,0,0,2.89227,0,3,0,0,
0.464,0.596727,0,-1.85992e-006,0,0,2.89527,0,3,0,0,
0.465,0.596727,0,-1.85992e-006,0,0,2.89827,0,3,0,0,
0.466,0.596727,0,-1.85992e-006,0,0,2.90127,0,3,0,0,
0.467,0.596727,0,-1.85992e-006,0,0,2.90427,0,3,0,0,
0.468,0.596727,0,-1.85992e-006,0,0,2.90727,0,3,0,0,
0.469,0.596727,0,-1.85992e-006,0,0,2.91027,0,3,0,0,
0.47,0.596727,0,-1.85992e-006,0,0,2.91327,0,3,0,0,
0.471,0.596727,0,-1.85992e-006,0,0,2.91627,0,3,0,0,
0.472,0.596727,0,-1.85992e-006,0,0,2.91927,0,3,0,0,
0.473,0.596727,0,-1.85992e-006,0,0,2.92227,0,3,0,0,
0.474,0.596727,0,-1.85992e-006,0,0,2.92527,0,3,0,0,
0.475,0.596727,0,-1.85992e-006,0,0,2.92827,0,3,0,0,
0.476,0.596727,0,-1.85992e-006,0,0,2.93127,0,3,0,0,
0.477,0.596727,0,-1.85992e-006,0,0,2.93427,0,3,0,0,
0.478,0.596727,0,-1.85992e-006,0,0,2.93727,0,3,0,0,
0.479,0.596727,0,-1.85992e-006,0,0,2.94027,0,3,0,0,
0.48,0.596727,0,-1.85992e-006,0,0,2.94327,0,3,0,0,
0.481,0.596727,0,-1.85992e-006,0,0,2.94627,0,3,0,0,
0.482,0.596727,0,-1.85992e-006,0,0,2.94927,0,3,0,0,
0.483,0.596727,0,-1.85992e-006,0,0,2.95227,0,3,0,0,
0.484,0.596727,0,-1.85992e-006,0,0,2.95527,0,3,0,0,
0.485,0.596727,0,-1.85992e-006,0,0,2.95827,0,3,0,0,
0.486,0.596727,0,-1.85992e-006,0,0,2.96127,0,3,0,0,
0.487,0.596727,0,-1.85992e-006,0,0,2.96427,0,3,0,0,
0.488,0.596727,0,-1.85992e-006,0,0,2.96727,0,3,0,0,
0.489,0.596727,0,-1.85992e-006,0,0,2.97027,0,3,0,0,
0.49,0.596727,0,-1.85992e-006,0,0,2.97327,0,3,0,0,
0.491,0.596727,0,-1.85992e-006,0,0,2.97627,0,3,0,0,
0.492,0.596727,0,-1.85992e-006,0,0,2.97927,0,3,0,0,
0.493,0.596727,0,-1.85992e-006,0,0,2.98227,0,3,0,0,
0.494,0.596727,0,-1.85992e-006,0,0,2.98527,0,3,0,0,
0.495,0.596727,0,-1.85992e-006,0,0,2.98827,0,3,0,0,
0.496,0.596727,0,-1.85992e-006,0,0,2.99127,0,3,0,0,
0.497,0.596727,0,-1.85992e-006,0,0,2.99427,0,3,0,0,
0.498,0.596727,0,-1.85992e-006,0,0,2.99727,0,3,0,0,
0.499,0.596727,0,-1.85992e-006,0,0,3.00027,0,3,0,0,
0.5,0.596727,0,-1.85992e-006,0,0,3.00327,0,3,0,0,
0.501,0.596727,0,-1.85992e-006,0,0,3.00627,0,3,0,0,
0.502,0.596727,0,-1.85992e-006,0,0,3.00927,0,3,0,0,
0.503,0.596727,0,-1.85992e-006,0,0,3.01227,0,3,0,0,
0.504,0.596727,0,-1.85992e-006,0,0,3.01527,0,3,0,0,
0.505,0.596727,0,-1.85992e-006,0,0,3.01827,0,3,0,0,
0.506,0.596727,0,-1.85992e-006,0,0,3.02127,0,3,0,0,
0.507,0.596727,0,-1.85992e-006,0,0,3.02427,0,3,0,0,
0.508,0.596727,0,-1.85992e-006,0,0,3.02727,0,3,0,0,
0.509,0.596727,0,-1.85992e-006,0,0,3.03027,0,3,0,0,
0.51,0.596727,0,-1.85992e-006,0,0,3.03327,0,3,0,0,
0.511,0.596727,0,-1.85992e-006,0,0,3.03627,0,3,0,0,
0.512,0.596727,0,-1.85992e-006,0,0,3.03927,0,3,0,0,
0.513,0.596727,0,-1.85992e-006,0,0,3.04227,0,3,0,0,
0.514,0.596727,0,-1.85992e-006,0,0,3.04527,0,3,0,0,
0.515,0.596727,0,-1.85992e-006,0,0,3.04827,0,3,0,0,
0.516,0.596727,0,-1.85992e-006,0,0,3.05127,0,3,0,0,
0.517,0.596727,0,-1.85992e-006,0,0,3.05427,0,3,0,0,
0.518,0.596727,0,-1.85992e-006,0,0,3.05727,0,3,0,0,
0.519,0.596727,0,-1.85992e-006,0,0,3.06027,0,3,0,0,
0.52,0.596727,0,-1.85992e-006,0,0,3.06327,0,3,0,0,
0.521,0.596727,0,-1.85992e-006,0,0,3.06627,0,3,0,0,
0.522,0.596727,0,-1.85992e-006,0,0,3.06927,0,3,0,0,
0.523,0.596727,0,-1.85992e-006,0,0,3.07227,0,3,0,0,
0.524,0.596727,0,-1.85992e-006,0,0,3.07527,0,3,0,0,
0.525,0.596727,0,-1.85992e-006,0,0,3.07827,0,3,0,0,
0.526,0.596727,0,-1.85992e-006,0,0,3.08127,0,3,0,0,
0.527,0.596727,0,-1.85992e-006,0,0,3.08427,0,3,0,0,
0.528,0.596727,0,-1.85992e-006,0,0,3.08727,0,3,0,0,
0.529,0.596727,0,-1.85992e-006,0,0,3.09027,0,3,0,0,
0.53,0.596727,0,-1.85992e-006,0,0,3.09327,0,3,0,0,
0.531,0.596727,0,-1.85992e-006,0,0,3.09627,0,3,0,0,
0.532,0.596727,0,-1.85992e-006,0,0,3.09927,0,3,0,0,
0.533,0.596727,0,-1.85992e-006,0,0,3.10227,0,3,0,0,
0.534,0.596727,0,-1.85992e-006,0,0,3.10527,0,3,0,0,
0.535,0.596727,0,-1.85992e-006,0,0,3.10827,0,3,0,0,
0.536,0.596727,0,-1.85992e-006,0,0,3.11127,0,3,0,0,
0.537,0.596727,0,-1.85992e-006,0,0,3.11427,0,3,0,0,
0.538,0.596727,0,-1.85992e-006,0,0,3.11727,0,3,0,0,
0.539,0.596727,0,-1.85992e-006,0,0,3.12027,0,3,0,0,
0.54,0.596727,0,-1.85992e-006,0,0,3.12327,0,3,0,0,
0.541,0.596727,0,-1.85992e-006,0,0,3.12627,0,3,0,0,
0.542,0.596727,0,-1.85992e-006,0,0,3.12927,0,3,0,0,
0.543,0.596727,0,-1.85992e-006,0,0,3.13227,0,3,0,0,
0.544,0.596727,0,-1.85992e-006,0,0,3.13527,0,3,0,0,
0.545,0.596727,0,-1.85992e-006,0,0,3.13827,0,3,0,0,
0.546,0.596727,0,-1.85992e-006,0,0,3.14127,0,3,0,0,
0.547,0.596727,0,-1.85992e-006,0,0,3.14427,0,3,0,0,
0.548,0.596727,0,-1.85992e-006,0,0,3.14727,0,3,0,0,
0.549,0.596727,0,-1.85992e-006,0,0,3.15027,0,3,0,0,
0.55,0.596727,0,-1.85992e-006,0,0,3.15327,0,3,0,0,
0.551,0.596727,0,-1.85992e-006,0,0,3.15627,0,3,0,0,
0.552,0.596727,0,-1.85992e-006,0,0,3.15927,0,3,0,0,
0.553,0.596727,0,-1.85992e-006,0,0,3.16227,0,3,0,0,
0.554,0.596727,0,-1.85992e-006,0,0,3.16527,0,3,0,0,
0.555,0.596727,0,-1.85992e-006,0,0,3.16827,0,3,0,0,
0.556,0.596727,0,-1.85992e-006,0,0,3.17127,0,3,0,0,
0.557,0.596727,0,-1.85992e-006,0,0,3.17427,0,3,0,0,
0.558,0.596727,0,-1.85992e-006,0,0,3.17727,0,3,0,0,
0.559,0.596727,0,-1.85992e-006,0,0,3.18027,0,3,0,0,
0.56,0.596727,0,-1.85992e-006,0,0,3.18327,0,3,0,0,
0.561,0.596727,0,-1.85992e-006,0,0,3.18627,0,3,0,0,
0.562,0.596727,0,-1.85992e-006,0,0,3.18927,0,3,0,0,
0.563,0.596727,0,-1.85992e-006,0,0,3.19227,0,3,0,0,
0.564,0.596727,0,-1.85992e-006,0,0,3.19527,0,3,0,0,
0.565,0.596727,0,-1.85992e-006,0,0,3.19827,0,3,0,0,
0.566,0.596727,0,-1.85992e-006,0,0,3.20127,0,3,0,0,
0.567,0.596727,0,-1.85992e-006,0,0,3.20427,0,3,0,0,
0.568,0.596727,0,-1.85992e-006,0,0,3.20727,0,3,0,0,
0.569,0.596727,0,-1.85992e-006,0,0,3.21027,0,3,0,0,
0.57,0.596727,0,-1.85992e-006,0,0,3.21327,0,3,0,0,
0.571,0.596727,0,-1.85992e-006,0,0,3.21627,0,3,0,0,
0.572,0.596727,0,-1.85992e-006,0,0,3.21927,0,3,0,0,
0.573,0.596727,0,-1.85992e-006,0,0,3.22227,0,3,0,0,
0.574,0.596727,0,-1.85992e-006,0,0,3.22527,0,3,0,0,
0.575,0.596727,0,-1.85992e-006,0,0,3.22827,0,3,0,0,
0.576,0.596727,0,-1.85992e-006,0,0,3.23127,0,3,0,0,
0.577,0.596727,0,-1.85992e-006,0,0,3.23427,0,3,0,0,
0.578,0.596727,0,-1.85992e-006,0,0,3.23727,0,3,0,0,
0.579,0.596727,0,-1.85992e-006,0,0,3.24027,0,3,0,0,
0.58,0.596727,0,-1.85992e-006,0,0,3.24327,0,3,0,0,
0.581,0.596727,0,-1.85992e-006,0,0,3.24627,0,3,0,0,
0.582,0.596727,0,-1.85992e-006,0,0,3.24927,0,3,0,0,
0.583,0.596727,0,-1.85992e-006,0,0,3.25227,0,3,0,0,
0.584,0.596727,0,-1.85992e-006,0,0,3.25527,0,3,0,0,
0.585,0.596727,0,-1.85992e-006,0,0,3.25827,0,3,0,0,
0.586,0.596727,0,-1.85992e-006,0,0,3.26127,0,3,0,0,
0.587,0.596727,0,-1.85992e-006,0,0,3.26427,0,3,0,0,
0.588,0.596727,0,-1.85992e-006,0,0,3.26727,0,3,0,0,
0.589,0.596727,0,-1.85992e-006,0,0,3.27027,0,3,0,0,
0.59,0.596727,0,-1.85992e-006,0,0,3.27327,0,3,0,0,
0.591,0.596727,0,-1.85992e-006,0,0,3.27627,0,3,0,0,
0.592,0.596727,0,-1.85992e-006,0,0,3.27927,0,3,0,0,
0.593,0.596727,0,-1.85992e-006,0,0,3.28227,0,3,0,0,
0.594,0.596727,0,-1.85992e-006,0,0,3.28527,0,3,0,0,
0.595,0.596727,0,-1.85992e-006,0,0,3.28827,0,3,0,0,
0.596,0.596727,0,-1.85992e-006,0,0,3.29127,0,3,0,0,
0.597,0.596727,0,-1.85992e-006,0,0,3.29427,0,3,0,0,
0.598,0.596727,0,-1.85992e-006,0,0,3.29727,0,3,0,0,
0.599,0.596727,0,-1.85992e-006,0,0,3.30027,0,3,0,0,
0.6,0.596727,0,-1.85992e-006,0,0,3.30327,0,3,0,0,
0.601,0.596727,0,-1.85992e-006,0,0,3.30627,0,3,0,0,
0.602,0.596727,0,-1.85992e-006,0,0,3.30927,0,3,0,0,
0.603,0.596727,0,-1.85992e-006,0,0,3.31227,0,3,0,0,
0.604,0.596727,0,-1.85992e-006,0,0,3.31527,0,3,0,0,
0.605,0.596727,0,-1.85992e-006,0,0,3.31827,0,3,0,0,
0.606,0.596727,0,-1.85992e-006,0,0,3.32127,0,3,0,0,
0.607,0.596727,0,-1.85992e-006,0,0,3.32427,0,3,0,0,
0.608,0.596727,0,-1.85992e-006,0,0,3.32727,0,3,0,0,
0.609,0.596727,0,-1.85992e-006,0,0,3.33027,0,3,0,0,
0.61,0.596727,0,-1.85992e-006,0,0,3.33327,0,3,0,0,
0.611,0.596727,0,-1.85992e-006,0,0,3.33627,0,3,0,0,
0.612,0.596727,0,-1.85992e-006,0,0,3.33927,0,3,0,0,
0.613,0.596727,0,-1.85992e-006,0,0,3.34227,0,3,0,0,
0.614,0.596727,0,-1.85992e-006,0,0,3.34527,0,3,0,0,
0.615,0.596727,0,-1.85992e-006,0,0,3.34827,0,3,0,0,
0.616,0.596727,0,-1.85992e-006,0,0,3.35127,0,3,0,0,
0.617,0.596727,0,-1.85992e-006,0,0,3.35427,0,3,0,0,
0.618,0.596727,0,-1.85992e-006,0,0,3.35727,0,3,0,0,
0.619,0.596727,0,-1.85992e-006,0,0,3.36027,0,3,0,0,
0.62,0.596727,0,-1.85992e-006,0,0,3.36327,0,3,0,0,
0.621,0.596727,0,-1.85992e-006,0,0,3.36627,0,3,0,0,
0.622,0.596727,0,-1.85992e-006,0,0,3.36927,0,3,0,0,
0.623,0.596727,0,-1.85992e-006,0,0,3.37227,0,3,0,0,
0.624,0.596727,0,-1.85992e-006,0,0,3.37527,0,3,0,0,
0.625,0.596727,0,-1.85992e-006,0,0,3.37827,0,3,0,0,
0.626,0.596727,0,-1.85992e-006,0,0,3.38127,0,3,0,0,
0.627,0.596727,0,-1.85992e-006,0,0,3.38427,0,3,0,0,
0.628,0.596727,0,-1.85992e-006,0,0,3.38727,0,3,0,0,
0.629,0.596727,0,-1.85992e-006,0,0,3.39027,0,3,0,0,
0.63,0.596727,0,-1.85992e-006,0,0,3.39327,0,3,0,0,
0.631,0.596727,0,-1.85992e-006,0,0,3.39627,0,3,0,0,
0.632,0.596727,0,-1.85992e-006,0,0,3.39927,0,3,0,0,
0.633,0.596727,0,-1.85992e-006,0,0,3.40227,0,3,0,0,
0.634,0.596727,0,-1.85992e-006,0,0,3.40527,0,3,0,0,
0.635,0.596727,0,-1.85992e-006,0,0,3.40827,0,3,0,0,
0.636,0.596727,0,-1.85992e-006,0,0,3.41127,0,3,0,0,
0.637,0.596727,0,-1.85992e-006,0,0,3.41427,0,3,0,0,
0.638,0.596727,0,-1.85992e-006,0,0,3.41727,0,3,0,0,
0.639,0.596727,0,-1.85992e-006,0,0,3.42027,0,3,0,0,
0.64,0.596727,0,-1.85992e-006,0,0,3.42327,0,3,0,0,
0.641,0.596727,0,-1.85992e-006,0,0,3.42627,0,3,0,0,
0.642,0.596727,0,-1.85992e-006,0,0,3.42927,0,3,0,0,
0.643,0.596727,0,-1.85992e-006,0,0,3.43227,0,3,0,0,
0.644,0.596727,0,-1.85992e-006,0,0,3.43527,0,3,0,0,
0.645,0.596727,0,-1.85992e-006,0,0,3.43827,0,3,0,0,
0.646,0.596727,0,-1.85992e-006,0,0,3.44127,0,3,0,0,
0.647,0.596727,0,-1.85992e-006,0,0,3.44427,0,3,0,0,
0.648,0.596727,0,-1.85992e-006,0,0,3.44727,0,3,0,0,
0.649,0.596727,0,-1.85992e-006,0,0,3.45027,0,3,0,0,
0.65,0.596727,0,-1.85992e-006,0,0,3.45327,0,3,0,0,
0.651,0.596727,0,-1.85992e-006,0,0,3.45627,0,3,0,0,
0.652,0.596727,0,-1.85992e-006,0,0,3.45927,0,3,0,0,
0.653,0.596727,0,-1.85992e-006,0,0,3.46227,0,3,0,0,
0.654,0.596727,0,-1.85992e-006,0,0,3.46527,0,3,0,0,
0.655,0.596727,0,-1.85992e-006,0,0,3.46827,0,3,0,0,
0.656,0.596727,0,-1.85992e-006,0,0,3.47127,0,3,0,0,
0.657,0.596727,0,-1.85992e-006,0,0,3.47427,0,3,0,0,
0.658,0.596727,0,-1.85992e-006,0,0,3.47727,0,3,0,0,
0.659,0.596727,0,-1.85992e-006,0,0,3.48027,0,3,0,0,
0.66,0.596727,0,-1.85992e-006,0,0,3.48327,0,3,0,0,
0.661,0.596727,0,-1.85992e-006,0,0,3.48627,0,3,0,0,
0.662,0.596727,0,-1.85992e-006,0,0,3.48927,0,3,0,0,
0.663,0.596727,0,-1.85992e-006,0,0,3.49227,0,3,0,0,
0.664,0.596727,0,-1.85992e-006,0,0,3.49527,0,3,0,0,
0.665,0.596727,0,-1.85992e-006,0,0,3.49827,0,3,0,0,
0.666,0.596727,0,-1.85992e-006,0,0,3.50127,0,3,0,0,
0.667,0.596727,0,-1.85992e-006,0,0,3.50427,0,3,0,0,
0.668,0.596727,0,-1.85992e-006,0,0,3.50727,0,3,0,0,
0.669,0.596727,0,-1.85992e-006,0,0,3.51027,0,3,0,0,
0.67,0.596727,0,-1.85992e-006,0,0,3.51327,0,3,0,0,
0.671,0.596727,0,-1.85992e-006,0,0,3.51627,0,3,0,0,
0.672,0.596727,0,-1.85992e-006,0,0,3.51927,0,3,0,0,
0.673,0.596727,0,-1.85992e-006,0,0,3.52227,0,3,0,0,
0.674,0.596727,0,-1.85992e-006,0,0,3.52527,0,3,0,0,
0.675,0.596727,0,-1.85992e-006,0,0,3.52827,0,3,0,0,
0.676,0.596727,0,-1.85992e-006,0,0,3.53127,0,3,0,0,
0.677,0.596727,0,-1.85992e-006,0,0,3.53427,0,3,0,0,
0.678,0.596727,0,-1.85992e-006,0,0,3.53727,0,3,0,0,
0.679,0.596727,0,-1.85992e-006,0,0,3.54027,0,3,0,0,
0.68,0.596727,0,-1.85992e-006,0,0,3.54327,0,3,0,0,
0.681,0.596727,0,-1.85992e-006,0,0,3.54627,0,3,0,0,
0.682,0.596727,0,-1.85992e-006,0,0,3.54927,0,3,0,0,
0.683,0.596727,0,-1.85992e-006,0,0,3.55227,0,3,0,0,
0.684,0.596727,0,-1.85992e-006,0,0,3.55527,0,3,0,0,
0.685,0.596727,0,-1.85992e-006,0,0,3.55827,0,3,0,0,
0.686,0.596727,0,-1.85992e-006,0,0,3.56127,0,3,0,0,
0.687,0.596727,0,-1.85992e-006,0,0,3.56427,0,3,0,0,
0.688,0.596727,0,-1.85992e-006,0,0,3.56727,0,3,0,0,
0.689,0.596727,0,-1.85992e-006,0,0,3.57027,0,3,0,0,
0.69,0.596727,0,-1.85992e-006,0,0,3.57327,0,3,0,0,
0.691,0.596727,0,-1.85992e-006,0,0,3.57627,0,3,0,0,
0.692,0.596727,0,-1.85992e-006,0,0,3.57927,0,3,0,0,
0.693,0.596727,0,-1.85992e-006,0,0,3.58227,0,3,0,0,
0.694,0.596727,0,-1.85992e-006,0,0,3.58527,0,3,0,0,
0.695,0.596727,0,-1.85992e-006,0,0,3.58827,0,3,0,0,
0.696,0.596727,0,-1.85992e-006,0,0,3.59127,0,3,0,0,
0.697,0.596727,0,-1.85992e-006,0,0,3.59427,0,3,0,0,
0.698,0.596727,0,-1.85992e-006,0,0,3.59727,0,3,0,0,
0.699,0.596727,0,-1.85992e-006,0,0,3.60027,0,3,0,0,
0.7,0.596727,0,-1.85992e-006,0,0,3.60327,0,3,0,0,
0.701,0.596727,0,-1.85992e-006,0,0,3.60627,0,3,0,0,
0.702,0.596727,0,-1.85992e-006,0,0,3.60927,0,3,0,0,
0.703,0.596727,0,-1.85992e-006,0,0,3.61227,0,3,0,0,
0.704,0.596727,0,-1.85992e-006,0,0,3.61527,0,3,0,0,
0.705,0.596727,0,-1.85992e-006,0,0,3.61827,0,3,0,0,
0.706,0.596727,0,-1.85992e-006,0,0,3.62127,0,3,0,0,
0.707,0.596727,0,-1.85992e-006,0,0,3.62427,0,3,0,0,
0.708,0.596727,0,-1.85992e-006,0,0,3.62727,0,3,0,0,
0.709,0.596727,0,-1.85992e-006,0,0,3.63027,0,3,0,0,
0.71,0.596727,0,-1.85992e-006,0,0,3.63327,0,3,0,0,
0.711,0.596727,0,-1.85992e-006,0,0,3.63627,0,3,0,0,
0.712,0.596727,0,-1.85992e-006,0,0,3.63927,0,3,0,0,
0.713,0.596727,0,-1.85992e-006,0,0,3.64227,0,3,0,0,
0.714,0.596727,0,-1.85992e-006,0,0,3.64527,0,3,0,0,
0.715,0.596727,0,-1.85992e-006,0,0,3.64827,0,3,0,0,
0.716,0.596727,0,-1.85992e-006,0,0,3.65127,0,3,0,0,
0.717,0.596727,0,-1.85992e-006,0,0,3.65427,0,3,0,0,
0.718,0.596727,0,-1.85992e-006,0,0,3.65727,0,3,0,0,
0.719,0.596727,0,-1.85992e-006,0,0,3.66027,0,3,0,0,
0.72,0.596727,0,-1.85992e-006,0,0,3.66327,0,3,0,0,
0.721,0.596727,0,-1.85992e-006,0,0,3.66627,0,3,0,0,
0.722,0.596727,0,-1.85992e-006,0,0,3.66927,0,3,0,0,
0.723,0.596727,0,-1.85992e-006,0,0,3.67227,0,3,0,0,
0.724,0.596727,0,-1.85992e-006,0,0,3.67527,0,3,0,0,
0.725,0.596727,0,-1.85992e-006,0,0,3.67827,0,3,0,0,
0.726,0.596727,0,-1.85992e-006,0,0,3.68127,0,3,0,0,
0.727,0.596727,0,-1.85992e-006,0,0,3.68427,0,3,0,0,
0.728,0.596727,0,-1.85992e-006,0,0,3.68727,0,3,0,0,
0.729,0.596727,0,-1.85992e-006,0,0,3.69027,0,3,0,0,
0.73,0.596727,0,-1.85992e-006,0,0,3.69327,0,3,0,0,
0.731,0.596727,0,-1.85992e-006,0,0,3.69627,0,3,0,0,
