,Ball 0,,,,,Ball 1,,,,,
,m:,10,,,,m:,10,,,,
,r:,1,,,,r:,1,,,,
,k:,900,,,,k:,900,,,,
,rot: ,true,,,,,,,,,
,u_k: ,0.5,,,,,,,,,
t,s_x,s_y,v_x,v_y,w,s_x,s_y,v_x,v_y,w,
0.09,0.265965,0,2.79205,0,0,2.10404,0,0.207951,0,0,
0.091,0.26875,0,2.78476,0,0,2.10425,0,0.215238,0,0,
0.092,0.271527,0,2.77736,0,0,2.10447,0,0.22264,0,0,
0.093,0.274297,0,2.76984,0,0,2.1047,0,0.230158,0,0,
0.094,0.277059,0,2.76221,0,0,2.10494,0,0.237789,0,0,
0.095,0.279814,0,2.75447,0,0,2.10519,0,0.245535,0,0,
0.096,0.28256,0,2.74661,0,0,2.10544,0,0.253393,0,0,
0.097,0.285299,0,2.73864,0,0,2.1057,0,0.261363,0,0,
0.098,0.288029,0,2.73055,0,0,2.10597,0,0.269445,0,0,
0.099,0.290752,0,2.72236,0,0,2.10625,0,0.277638,0,0,
0.1,0.293466,0,2.71406,0,0,2.10653,0,0.285941,0,0,
0.101,0.296171,0,2.70565,0,0,2.10683,0,0.294353,0,0,
0.102,0.298869,0,2.69713,0,0,2.10713,0,0.302873,0,0,
0.103,0.301557,0,2.6885,0,0,2.10744,0,0.311501,0,0,
0.104,0.304237,0,2.67976,0,0,2.10776,0,0.320236,0,0,
0.105,0.306908,0,2.67092,0,0,2.10809,0,0.329078,0,0,
0.106,0.30957,0,2.66198,0,0,2.10843,0,0.338024,0,0,
0.107,0.312223,0,2.65292,0,0,2.10878,0,0.347076,0,0,
0.108,0.314866,0,2.64377,0,0,2.10913,0,0.356231,0,0,
0.109,0.317501,0,2.63451,0,0,2.1095,0,0.365489,0,0,
0.11,0.320126,0,2.62515,0,0,2.10987,0,0.374849,0,0,
0.111,0.322742,0,2.61569,0,0,2.11026,0,0.38431,0,0,
0.112,0.325348,0,2.60613,0,0,2.11065,0,0.393872,0,0,
0.113,0.327944,0,2.59647,0,0,2.11106,0,0.403533,0,0,
0.114,0.330531,0,2.58671,0,0,2.11147,0,0.413293,0,0,
0.115,0.333108,0,2.57685,0,0,2.11189,0,0.423151,0,0,
0.116,0.335675,0,2.56689,0,0,2.11233,0,0.433106,0,0,
0.117,0.338232,0,2.55684,0,0,2.11277,0,0.443156,0,0,
0.118,0.340778,0,2.5467,0,0,2.11322,0,0.453302,0,0,
0.119,0.343315,0,2.53646,0,0,2.11369,0,0.463542,0,0,
0.12,0.345841,0,2.52612,0,0,2.11416,0,0.473876,0,0,
0.121,0.348357,0,2.5157,0,0,2.11464,0,0.484301,0,0,
0.122,0.350862,0,2.50518,0,0,2.11514,0,0.494818,0,0,
0.123,0.353356,0,2.49457,0,0,2.11564,0,0.505426,0,0,
0.124,0.35584,0,2.48388,0,0,2.11616,0,0.516123,0,0,
0.125,0.358313,0,2.47309,0,0,2.11669,0,0.526909,0,0,
0.126,0.360776,0,2.46222,0,0,2.11722,0,0.537782,0,0,
0.127,0.363227,0,2.45126,0,0,2.11777,0,0.548742,0,0,
0.128,0.365667,0,2.44021,0,0,2.11833,0,0.559787,0,0,
0.129,0.368096,0,2.42908,0,0,2.1189,0,0.570917,0,0,
0.13,0.370514,0,2.41787,0,0,2.11949,0,0.582131,0,0,
0.131,0.372921,0,2.40657,0,0,2.12008,0,0.593427,0,0,
0.132,0.375316,0,2.3952,0,0,2.12068,0,0.604805,0,0,
0.133,0.3777,0,2.38374,0,0,2.1213,0,0.616263,0,0,
0.134,0.380072,0,2.3722,0,0,2.12193,0,0.627801,0,0,
0.135,0.382432,0,2.36058,0,0,2.12257,0,0.639418,0,0,
0.136,0.384781,0,2.34889,0,0,2.12322,0,0.651112,0,0,
0.137,0.387118,0,2.33712,0,0,2.12388,0,0.662882,0,0,
0.138,0.389444,0,2.32527,0,0,2.12456,0,0.674728,0,0,
0.139,0.391757,0,2.31335,0,0,2.12524,0,0.686648,0,0,
0.14,0.394058,0,2.30136,0,0,2.12594,0,0.698641,0,0,
0.141,0.396348,0,2.28929,0,0,2.12665,0,0.710706,0,0,
0.142,0.398625,0,2.27716,0,0,2.12738,0,0.722842,0,0,
0.143,0.40089,0,2.26495,0,0,2.12811,0,0.735048,0,0,
0.144,0.403142,0,2.25268,0,0,2.12886,0,0.747324,0,0,
0.145,0.405383,0,2.24033,0,0,2.12962,0,0.759666,0,0,
0.146,0.407611,0,2.22792,0,0,2.13039,0,0.772076,0,0,
0.147,0.409826,0,2.21545,0,0,2.13117,0,0.784551,0,0,
0.148,0.412029,0,2.20291,0,0,2.13197,0,0.79709,0,0,
0.149,0.414219,0,2.19031,0,0,2.13278,0,0.809693,0,0,
0.15,0.416397,0,2.17764,0,0,2.1336,0,0.822357,0,0,
0.151,0.418562,0,2.16492,0,0,2.13444,0,0.835083,0,0,
0.152,0.420714,0,2.15213,0,0,2.13529,0,0.847869,0,0,
0.153,0.422853,0,2.13929,0,0,2.13615,0,0.860713,0,0,
0.154,0.42498,0,2.12639,0,0,2.13702,0,0.873615,0,0,
0.155,0.427093,0,2.11343,0,0,2.13791,0,0.886573,0,0,
0.156,0.429194,0,2.10041,0,0,2.13881,0,0.899586,0,0,
0.157,0.431281,0,2.08735,0,0,2.13972,0,0.912654,0,0,
0.158,0.433355,0,2.07423,0,0,2.14064,0,0.925774,0,0,
0.159,0.435416,0,2.06105,0,0,2.14158,0,0.938946,0,0,
0.16,0.437464,0,2.04783,0,0,2.14254,0,0.952168,0,0,
0.161,0.439499,0,2.03456,0,0,2.1435,0,0.96544,0,0,
0.162,0.44152,0,2.02124,0,0,2.14448,0,0.97876,0,0,
0.163,0.443528,0,2.00787,0,0,2.14547,0,0.992127,0,0,
0.164,0.445522,0,1.99446,0,0,2.14648,0,1.00554,0,0,
0.165,0.447503,0,1.981,0,0,2.1475,0,1.019,0,0,
0.166,0.449471,0,1.9675,0,0,2.14853,0,1.0325,0,0,
0.167,0.451425,0,1.95396,0,0,2.14958,0,1.04604,0,0,
0.168,0.453365,0,1.94038,0,0,2.15064,0,1.05962,0,0,
0.169,0.455292,0,1.92675,0,0,2.15171,0,1.07325,0,0,
0.17,0.457205,0,1.91309,0,0,2.1528,0,1.08691,0,0,
0.171,0.459104,0,1.8994,0,0,2.1539,0,1.1006,0,0,
0.172,0.46099,0,1.88566,0,0,2.15501,0,1.11434,0,0,
0.173,0.462862,0,1.87189,0,0,2.15614,0,1.12811,0,0,
0.174,0.46472,0,1.85809,0,0,2.15728,0,1.14191,0,0,
0.175,0.466564,0,1.84425,0,0,2.15844,0,1.15575,0,0,
0.176,0.468394,0,1.83039,0,0,2.15961,0,1.16961,0,0,
0.177,0.470211,0,1.81649,0,0,2.16079,0,1.18351,0,0,
