,Ball 0,,,,Ball 1,,,,
,m:,1,,,m:,1,,,
,r:,1,,,r:,1,,,
,k:,980,,,k:,980,,,
,rot: ,false,,,,,,,
,u_k: ,0.5,,,,,,,
t,s_x,v_x,theta,w,s_x,v_x,theta,w,
0.0258,0.129,5,0,0,3,0,0,0,
0.026,0.13,5,0,0,3,0,0,0,
0.0262,0.131,5,0,0,3,0,0,0,
0.0264,0.132,5,0,0,3,0,0,0,
0.0266,0.133,5,0,0,3,0,0,0,
0.0268,0.134,5,0,0,3,0,0,0,
0.027,0.135,5,0,0,3,0,0,0,
0.0272,0.136,5,0,0,3,0,0,0,
0.0274,0.137,5,0,0,3,0,0,0,
0.0276,0.138,5,0,0,3,0,0,0,
0.0278,0.139,5,0,0,3,0,0,0,
0.028,0.14,5,0,0,3,0,0,0,
0.0282,0.141,5,0,0,3,0,0,0,
0.0284,0.142,5,0,0,3,0,0,0,
0.0286,0.143,5,0,0,3,0,0,0,
0.0288,0.144,5,0,0,3,0,0,0,
0.029,0.145,5,0,0,3,0,0,0,
0.0292,0.146,5,0,0,3,0,0,0,
0.0294,0.147,5,0,0,3,0,0,0,
0.0296,0.148,5,0,0,3,0,0,0,
0.0298,0.149,5,0,0,3,0,0,0,
0.03,0.15,5,0,0,3,0,0,0,
0.0302,0.151,5,0,0,3,0,0,0,
0.0304,0.152,5,0,0,3,0,0,0,
0.0306,0.153,5,0,0,3,0,0,0,
0.0308,0.154,5,0,0,3,0,0,0,
0.031,0.155,5,0,0,3,0,0,0,
0.0312,0.156,5,0,0,3,0,0,0,
0.0314,0.157,5,0,0,3,0,0,0,
0.0316,0.158,5,0,0,3,0,0,0,
0.0318,0.159,5,0,0,3,0,0,0,
0.032,0.16,5,0,0,3,0,0,0,
0.0322,0.161,5,0,0,3,0,0,0,
0.0324,0.162,5,0,0,3,0,0,0,
0.0326,0.163,5,0,0,3,0,0,0,
0.0328,0.164,5,0,0,3,0,0,0,
0.033,0.165,5,0,0,3,0,0,0,
0.0332,0.166,5,0,0,3,0,0,0,
0.0334,0.167,5,0,0,3,0,0,0,
0.0336,0.168,5,0,0,3,0,0,0,
0.0338,0.169,5,0,0,3,0,0,0,
0.034,0.17,5,0,0,3,0,0,0,
0.0342,0.171,5,0,0,3,0,0,0,
0.0344,0.172,5,0,0,3,0,0,0,
0.0346,0.173,5,0,0,3,0,0,0,
0.0348,0.174,5,0,0,3,0,0,0,
0.035,0.175,5,0,0,3,0,0,0,
0.0352,0.176,5,0,0,3,0,0,0,
0.0354,0.177,5,0,0,3,0,0,0,
0.0356,0.178,5,0,0,3,0,0,0,
0.0358,0.179,5,0,0,3,0,0,0,
0.036,0.18,5,0,0,3,0,0,0,
0.0362,0.181,5,0,0,3,0,0,0,
0.0364,0.182,5,0,0,3,0,0,0,
0.0366,0.183,5,0,0,3,0,0,0,
0.0368,0.184,5,0,0,3,0,0,0,
0.037,0.185,5,0,0,3,0,0,0,
0.0372,0.186,5,0,0,3,0,0,0,
0.0374,0.187,5,0,0,3,0,0,0,
0.0376,0.188,5,0,0,3,0,0,0,
0.0378,0.189,5,0,0,3,0,0,0,
0.038,0.19,5,0,0,3,0,0,0,
0.0382,0.191,5,0,0,3,0,0,0,
0.0384,0.192,5,0,0,3,0,0,0,
0.0386,0.193,5,0,0,3,0,0,0,
0.0388,0.194,5,0,0,3,0,0,0,
0.039,0.195,5,0,0,3,0,0,0,
0.0392,0.196,5,0,0,3,0,0,0,
0.0394,0.197,5,0,0,3,0,0,0,
0.0396,0.198,5,0,0,3,0,0,0,
0.0398,0.199,5,0,0,3,0,0,0,
0.04,0.2,5,0,0,3,0,0,0,
0.0402,0.201,5,0,0,3,0,0,0,
0.0404,0.202,5,0,0,3,0,0,0,
0.0406,0.203,5,0,0,3,0,0,0,
0.0408,0.204,5,0,0,3,0,0,0,
0.041,0.205,5,0,0,3,0,0,0,
0.0412,0.206,5,0,0,3,0,0,0,
0.0414,0.207,5,0,0,3,0,0,0,
0.0416,0.208,5,0,0,3,0,0,0,
0.0418,0.209,5,0,0,3,0,0,0,
0.042,0.21,5,0,0,3,0,0,0,
0.0422,0.211,5,0,0,3,0,0,0,
0.0424,0.212,5,0,0,3,0,0,0,
0.0426,0.213,5,0,0,3,0,0,0,
0.0428,0.214,5,0,0,3,0,0,0,
0.043,0.215,5,0,0,3,0,0,0,
0.0432,0.216,5,0,0,3,0,0,0,
0.0434,0.217,5,0,0,3,0,0,0,
0.0436,0.218,5,0,0,3,0,0,0,
0.0438,0.219,5,0,0,3,0,0,0,
0.044,0.22,5,0,0,3,0,0,0,
0.0442,0.221,5,0,0,3,0,0,0,
0.0444,0.222,5,0,0,3,0,0,0,
0.0446,0.223,5,0,0,3,0,0,0,
0.0448,0.224,5,0,0,3,0,0,0,
0.045,0.225,5,0,0,3,0,0,0,
0.0452,0.226,5,0,0,3,0,0,0,
0.0454,0.227,5,0,0,3,0,0,0,
0.0456,0.228,5,0,0,3,0,0,0,
0.0458,0.229,5,0,0,3,0,0,0,
0.046,0.23,5,0,0,3,0,0,0,
0.0462,0.231,5,0,0,3,0,0,0,
0.0464,0.232,5,0,0,3,0,0,0,
0.0466,0.233,5,0,0,3,0,0,0,
0.0468,0.234,5,0,0,3,0,0,0,
0.047,0.235,5,0,0,3,0,0,0,
0.0472,0.236,5,0,0,3,0,0,0,
0.0474,0.237,5,0,0,3,0,0,0,
0.0476,0.238,5,0,0,3,0,0,0,
0.0478,0.239,5,0,0,3,0,0,0,
0.048,0.24,5,0,0,3,0,0,0,
0.0482,0.241,5,0,0,3,0,0,0,
0.0484,0.242,5,0,0,3,0,0,0,
0.0486,0.243,5,0,0,3,0,0,0,
0.0488,0.244,5,0,0,3,0,0,0,
0.049,0.245,5,0,0,3,0,0,0,
0.0492,0.246,5,0,0,3,0,0,0,
0.0494,0.247,5,0,0,3,0,0,0,
0.0496,0.248,5,0,0,3,0,0,0,
0.0498,0.249,5,0,0,3,0,0,0,
0.05,0.25,5,0,0,3,0,0,0,
0.0502,0.251,5,0,0,3,0,0,0,
0.0504,0.252,5,0,0,3,0,0,0,
0.0506,0.253,5,0,0,3,0,0,0,
0.0508,0.254,5,0,0,3,0,0,0,
0.051,0.255,5,0,0,3,0,0,0,
0.0512,0.256,5,0,0,3,0,0,0,
0.0514,0.257,5,0,0,3,0,0,0,
0.0516,0.258,5,0,0,3,0,0,0,
0.0518,0.259,5,0,0,3,0,0,0,
0.052,0.26,5,0,0,3,0,0,0,
0.0522,0.261,5,0,0,3,0,0,0,
0.0524,0.262,5,0,0,3,0,0,0,
0.0526,0.263,5,0,0,3,0,0,0,
0.0528,0.264,5,0,0,3,0,0,0,
0.053,0.265,5,0,0,3,0,0,0,
0.0532,0.266,5,0,0,3,0,0,0,
0.0534,0.267,5,0,0,3,0,0,0,
0.0536,0.268,5,0,0,3,0,0,0,
0.0538,0.269,5,0,0,3,0,0,0,
0.054,0.27,5,0,0,3,0,0,0,
0.0542,0.271,5,0,0,3,0,0,0,
0.0544,0.272,5,0,0,3,0,0,0,
0.0546,0.273,5,0,0,3,0,0,0,
0.0548,0.274,5,0,0,3,0,0,0,
0.055,0.275,5,0,0,3,0,0,0,
0.0552,0.276,5,0,0,3,0,0,0,
0.0554,0.277,5,0,0,3,0,0,0,
0.0556,0.278,5,0,0,3,0,0,0,
0.0558,0.279,5,0,0,3,0,0,0,
0.056,0.28,5,0,0,3,0,0,0,
0.0562,0.281,5,0,0,3,0,0,0,
0.0564,0.282,5,0,0,3,0,0,0,
0.0566,0.283,5,0,0,3,0,0,0,
0.0568,0.284,5,0,0,3,0,0,0,
0.057,0.285,5,0,0,3,0,0,0,
0.0572,0.286,5,0,0,3,0,0,0,
0.0574,0.287,5,0,0,3,0,0,0,
0.0576,0.288,5,0,0,3,0,0,0,
0.0578,0.289,5,0,0,3,0,0,0,
0.058,0.29,5,0,0,3,0,0,0,
0.0582,0.291,5,0,0,3,0,0,0,
0.0584,0.292,5,0,0,3,0,0,0,
0.0586,0.293,5,0,0,3,0,0,0,
0.0588,0.294,5,0,0,3,0,0,0,
0.059,0.295,5,0,0,3,0,0,0,
0.0592,0.296,5,0,0,3,0,0,0,
0.0594,0.297,5,0,0,3,0,0,0,
0.0596,0.298,5,0,0,3,0,0,0,
0.0598,0.299,5,0,0,3,0,0,0,
0.06,0.3,5,0,0,3,0,0,0,
0.0602,0.301,5,0,0,3,0,0,0,
0.0604,0.302,5,0,0,3,0,0,0,
0.0606,0.303,5,0,0,3,0,0,0,
0.0608,0.304,5,0,0,3,0,0,0,
0.061,0.305,5,0,0,3,0,0,0,
0.0612,0.306,5,0,0,3,0,0,0,
0.0614,0.307,5,0,0,3,0,0,0,
0.0616,0.308,5,0,0,3,0,0,0,
0.0618,0.309,5,0,0,3,0,0,0,
0.062,0.31,5,0,0,3,0,0,0,
0.0622,0.311,5,0,0,3,0,0,0,
0.0624,0.312,5,0,0,3,0,0,0,
0.0626,0.313,5,0,0,3,0,0,0,
0.0628,0.314,5,0,0,3,0,0,0,
0.063,0.315,5,0,0,3,0,0,0,
0.0632,0.316,5,0,0,3,0,0,0,
0.0634,0.317,5,0,0,3,0,0,0,
0.0636,0.318,5,0,0,3,0,0,0,
0.0638,0.319,5,0,0,3,0,0,0,
0.064,0.32,5,0,0,3,0,0,0,
0.0642,0.321,5,0,0,3,0,0,0,
0.0644,0.322,5,0,0,3,0,0,0,
0.0646,0.323,5,0,0,3,0,0,0,
0.0648,0.324,5,0,0,3,0,0,0,
0.065,0.325,5,0,0,3,0,0,0,
0.0652,0.326,5,0,0,3,0,0,0,
0.0654,0.327,5,0,0,3,0,0,0,
0.0656,0.328,5,0,0,3,0,0,0,
0.0658,0.329,5,0,0,3,0,0,0,
0.066,0.33,5,0,0,3,0,0,0,
0.0662,0.331,5,0,0,3,0,0,0,
0.0664,0.332,5,0,0,3,0,0,0,
0.0666,0.333,5,0,0,3,0,0,0,
0.0668,0.334,5,0,0,3,0,0,0,
0.067,0.335,5,0,0,3,0,0,0,
0.0672,0.336,5,0,0,3,0,0,0,
0.0674,0.337,5,0,0,3,0,0,0,
0.0676,0.338,5,0,0,3,0,0,0,
0.0678,0.339,5,0,0,3,0,0,0,
0.068,0.34,5,0,0,3,0,0,0,
0.0682,0.341,5,0,0,3,0,0,0,
0.0684,0.342,5,0,0,3,0,0,0,
0.0686,0.343,5,0,0,3,0,0,0,
0.0688,0.344,5,0,0,3,0,0,0,
0.069,0.345,5,0,0,3,0,0,0,
0.0692,0.346,5,0,0,3,0,0,0,
0.0694,0.347,5,0,0,3,0,0,0,
0.0696,0.348,5,0,0,3,0,0,0,
0.0698,0.349,5,0,0,3,0,0,0,
0.07,0.35,5,0,0,3,0,0,0,
0.0702,0.351,5,0,0,3,0,0,0,
0.0704,0.352,5,0,0,3,0,0,0,
0.0706,0.353,5,0,0,3,0,0,0,
0.0708,0.354,5,0,0,3,0,0,0,
0.071,0.355,5,0,0,3,0,0,0,
0.0712,0.356,5,0,0,3,0,0,0,
0.0714,0.357,5,0,0,3,0,0,0,
0.0716,0.358,5,0,0,3,0,0,0,
0.0718,0.359,5,0,0,3,0,0,0,
0.072,0.36,5,0,0,3,0,0,0,
0.0722,0.361,5,0,0,3,0,0,0,
0.0724,0.362,5,0,0,3,0,0,0,
0.0726,0.363,5,0,0,3,0,0,0,
0.0728,0.364,5,0,0,3,0,0,0,
0.073,0.365,5,0,0,3,0,0,0,
0.0732,0.366,5,0,0,3,0,0,0,
0.0734,0.367,5,0,0,3,0,0,0,
0.0736,0.368,5,0,0,3,0,0,0,
0.0738,0.369,5,0,0,3,0,0,0,
0.074,0.37,5,0,0,3,0,0,0,
0.0742,0.371,5,0,0,3,0,0,0,
0.0744,0.372,5,0,0,3,0,0,0,
0.0746,0.373,5,0,0,3,0,0,0,
0.0748,0.374,5,0,0,3,0,0,0,
0.075,0.375,5,0,0,3,0,0,0,
0.0752,0.376,5,0,0,3,0,0,0,
0.0754,0.377,5,0,0,3,0,0,0,
0.0756,0.378,5,0,0,3,0,0,0,
0.0758,0.379,5,0,0,3,0,0,0,
0.076,0.38,5,0,0,3,0,0,0,
0.0762,0.381,5,0,0,3,0,0,0,
0.0764,0.382,5,0,0,3,0,0,0,
0.0766,0.383,5,0,0,3,0,0,0,
0.0768,0.384,5,0,0,3,0,0,0,
0.077,0.385,5,0,0,3,0,0,0,
0.0772,0.386,5,0,0,3,0,0,0,
0.0774,0.387,5,0,0,3,0,0,0,
0.0776,0.388,5,0,0,3,0,0,0,
0.0778,0.389,5,0,0,3,0,0,0,
0.078,0.39,5,0,0,3,0,0,0,
0.0782,0.391,5,0,0,3,0,0,0,
0.0784,0.392,5,0,0,3,0,0,0,
0.0786,0.393,5,0,0,3,0,0,0,
0.0788,0.394,5,0,0,3,0,0,0,
0.079,0.395,5,0,0,3,0,0,0,
0.0792,0.396,5,0,0,3,0,0,0,
0.0794,0.397,5,0,0,3,0,0,0,
0.0796,0.398,5,0,0,3,0,0,0,
0.0798,0.399,5,0,0,3,0,0,0,
0.08,0.4,5,0,0,3,0,0,0,
0.0802,0.401,5,0,0,3,0,0,0,
0.0804,0.402,5,0,0,3,0,0,0,
0.0806,0.403,5,0,0,3,0,0,0,
0.0808,0.404,5,0,0,3,0,0,0,
0.081,0.405,5,0,0,3,0,0,0,
0.0812,0.406,5,0,0,3,0,0,0,
0.0814,0.407,5,0,0,3,0,0,0,
0.0816,0.408,5,0,0,3,0,0,0,
0.0818,0.409,5,0,0,3,0,0,0,
0.082,0.41,5,0,0,3,0,0,0,
0.0822,0.411,5,0,0,3,0,0,0,
0.0824,0.412,5,0,0,3,0,0,0,
0.0826,0.413,5,0,0,3,0,0,0,
0.0828,0.414,5,0,0,3,0,0,0,
0.083,0.415,5,0,0,3,0,0,0,
0.0832,0.416,5,0,0,3,0,0,0,
0.0834,0.417,5,0,0,3,0,0,0,
0.0836,0.418,5,0,0,3,0,0,0,
0.0838,0.419,5,0,0,3,0,0,0,
0.084,0.42,5,0,0,3,0,0,0,
0.0842,0.421,5,0,0,3,0,0,0,
0.0844,0.422,5,0,0,3,0,0,0,
0.0846,0.423,5,0,0,3,0,0,0,
0.0848,0.424,5,0,0,3,0,0,0,
0.085,0.425,5,0,0,3,0,0,0,
