,Ball 0,,,,,,Ball 1,,,,,,
,m:,1.2,,,,,m:,2.31,,,,,
,r:,1,,,,,r:,1,,,,,
,k:,9800,,,,,k:,9800,,,,,
,rot: ,true,,,,,,,,,,,
,u_k: ,0.5,,,,,,,,,,,
t,s_x,s_y,v_x,v_y,theta,w,s_x,s_y,v_x,v_y,theta,w,
0.0056,0.0484974,0.972,8.66025,-5,0,0,-1.23318,-0.946006,11.4907,9.64181,0,0,
0.0057,0.0493634,0.9715,8.66025,-5,0,0,-1.23203,-0.945042,11.4907,9.64181,0,0,
0.0058,0.0502294,0.971,8.66025,-5,0,0,-1.23088,-0.944078,11.4907,9.64181,0,0,
0.0059,0.0510955,0.9705,8.66025,-5,0,0,-1.22974,-0.943113,11.4907,9.64181,0,0,
0.006,0.0519615,0.97,8.66025,-5,0,0,-1.22859,-0.942149,11.4907,9.64181,0,0,
0.0061,0.0528275,0.9695,8.66025,-5,0,0,-1.22744,-0.941185,11.4907,9.64181,0,0,
0.0062,0.0536935,0.969,8.66025,-5,0,0,-1.22629,-0.940221,11.4907,9.64181,0,0,
0.0063,0.0545596,0.9685,8.66025,-5,0,0,-1.22514,-0.939257,11.4907,9.64181,0,0,
0.0064,0.0554256,0.968,8.66025,-5,0,0,-1.22399,-0.938292,11.4907,9.64181,0,0,
0.0065,0.0562916,0.9675,8.66025,-5,0,0,-1.22284,-0.937328,11.4907,9.64181,0,0,
0.0066,0.0571576,0.967,8.66025,-5,0,0,-1.22169,-0.936364,11.4907,9.64181,0,0,
0.0067,0.0580237,0.9665,8.66025,-5,0,0,-1.22054,-0.9354,11.4907,9.64181,0,0,
0.0068,0.0588897,0.966,8.66025,-5,0,0,-1.21939,-0.934436,11.4907,9.64181,0,0,
0.0069,0.0597557,0.9655,8.66025,-5,0,0,-1.21824,-0.933472,11.4907,9.64181,0,0,
0.007,0.0606217,0.965,8.66025,-5,0,0,-1.2171,-0.932507,11.4907,9.64181,0,0,
0.0071,0.0614878,0.9645,8.66025,-5,0,0,-1.21595,-0.931543,11.4907,9.64181,0,0,
0.0072,0.0623538,0.964,8.66025,-5,0,0,-1.2148,-0.930579,11.4907,9.64181,0,0,
0.0073,0.0632198,0.9635,8.66025,-5,0,0,-1.21365,-0.929615,11.4907,9.64181,0,0,
0.0074,0.0640858,0.963,8.66025,-5,0,0,-1.2125,-0.928651,11.4907,9.64181,0,0,
0.0075,0.0649519,0.9625,8.66025,-5,0,0,-1.21135,-0.927686,11.4907,9.64181,0,0,
0.0076,0.0658179,0.962,8.66025,-5,0,0,-1.2102,-0.926722,11.4907,9.64181,0,0,
0.0077,0.0666839,0.9615,8.66025,-5,0,0,-1.20905,-0.925758,11.4907,9.64181,0,0,
0.0078,0.0675499,0.961,8.66025,-5,0,0,-1.2079,-0.924794,11.4907,9.64181,0,0,
0.0079,0.068416,0.9605,8.66025,-5,0,0,-1.20675,-0.92383,11.4907,9.64181,0,0,
0.008,0.069282,0.96,8.66025,-5,0,0,-1.2056,-0.922866,11.4907,9.64181,0,0,
0.0081,0.070148,0.9595,8.66025,-5,0,0,-1.20446,-0.921901,11.4907,9.64181,0,0,
0.0082,0.0710141,0.959,8.66025,-5,0,0,-1.20331,-0.920937,11.4907,9.64181,0,0,
0.0083,0.0718801,0.9585,8.66025,-5,0,0,-1.20216,-0.919973,11.4907,9.64181,0,0,
0.0084,0.0727461,0.958,8.66025,-5,0,0,-1.20101,-0.919009,11.4907,9.64181,0,0,
0.0085,0.0736121,0.9575,8.66025,-5,0,0,-1.19986,-0.918045,11.4907,9.64181,0,0,
0.0086,0.0744782,0.957,8.66025,-5,0,0,-1.19871,-0.91708,11.4907,9.64181,0,0,
0.0087,0.0753442,0.9565,8.66025,-5,0,0,-1.19756,-0.916116,11.4907,9.64181,0,0,
0.0088,0.0762102,0.956,8.66025,-5,0,0,-1.19641,-0.915152,11.4907,9.64181,0,0,
0.0089,0.0770762,0.9555,8.66025,-5,0,0,-1.19526,-0.914188,11.4907,9.64181,0,0,
0.009,0.0779423,0.955,8.66025,-5,0,0,-1.19411,-0.913224,11.4907,9.64181,0,0,
0.0091,0.0788083,0.9545,8.66025,-5,0,0,-1.19296,-0.91226,11.4907,9.64181,0,0,
0.0092,0.0796743,0.954,8.66025,-5,0,0,-1.19182,-0.911295,11.4907,9.64181,0,0,
0.0093,0.0805403,0.9535,8.66025,-5,0,0,-1.19067,-0.910331,11.4907,9.64181,0,0,
0.0094,0.0814064,0.953,8.66025,-5,0,0,-1.18952,-0.909367,11.4907,9.64181,0,0,
0.0095,0.0822724,0.9525,8.66025,-5,0,0,-1.18837,-0.908403,11.4907,9.64181,0,0,
0.0096,0.0831384,0.952,8.66025,-5,0,0,-1.18722,-0.907439,11.4907,9.64181,0,0,
0.0097,0.0840044,0.9515,8.66025,-5,0,0,-1.18607,-0.906474,11.4907,9.64181,0,0,
0.0098,0.0848705,0.951,8.66025,-5,0,0,-1.18492,-0.90551,11.4907,9.64181,0,0,
0.0099,0.0857365,0.9505,8.66025,-5,0,0,-1.18377,-0.904546,11.4907,9.64181,0,0,
0.01,0.0866025,0.95,8.66025,-5,0,0,-1.18262,-0.903582,11.4907,9.64181,0,0,
0.0101,0.0874685,0.9495,8.66025,-5,0,0,-1.18147,-0.902618,11.4907,9.64181,0,0,
0.0102,0.0883346,0.949,8.66025,-5,0,0,-1.18033,-0.901654,11.4907,9.64181,0,0,
0.0103,0.0892006,0.9485,8.66025,-5,0,0,-1.17918,-0.900689,11.4907,9.64181,0,0,
0.0104,0.0900666,0.948,8.66025,-5,0,0,-1.17803,-0.899725,11.4907,9.64181,0,0,
0.0105,0.0909326,0.9475,8.66025,-5,0,0,-1.17688,-0.898761,11.4907,9.64181,0,0,
0.0106,0.0917987,0.947,8.66025,-5,0,0,-1.17573,-0.897797,11.4907,9.64181,0,0,
0.0107,0.0926647,0.9465,8.66025,-5,0,0,-1.17458,-0.896833,11.4907,9.64181,0,0,
0.0108,0.0935307,0.946,8.66025,-5,0,0,-1.17343,-0.895868,11.4907,9.64181,0,0,
0.0109,0.0943967,0.9455,8.66025,-5,0,0,-1.17228,-0.894904,11.4907,9.64181,0,0,
0.011,0.0952628,0.945,8.66025,-5,0,0,-1.17113,-0.89394,11.4907,9.64181,0,0,
0.0111,0.0961288,0.9445,8.66025,-5,0,0,-1.16998,-0.892976,11.4907,9.64181,0,0,
0.0112,0.0969948,0.944,8.66025,-5,0,0,-1.16883,-0.892012,11.4907,9.64181,0,0,
0.0113,0.0978608,0.9435,8.66025,-5,0,0,-1.16769,-0.891048,11.4907,9.64181,0,0,
0.0114,0.0987269,0.943,8.66025,-5,0,0,-1.16654,-0.890083,11.4907,9.64181,0,0,
0.0115,0.0995929,0.9425,8.66025,-5,0,0,-1.16539,-0.889119,11.4907,9.64181,0,0,
0.0116,0.100459,0.942,8.66025,-5,0,0,-1.16424,-0.888155,11.4907,9.64181,0,0,
0.0117,0.101325,0.9415,8.66025,-5,0,0,-1.16309,-0.887191,11.4907,9.64181,0,0,
0.0118,0.102191,0.941,8.66025,-5,0,0,-1.16194,-0.886227,11.4907,9.64181,0,0,
0.0119,0.103057,0.9405,8.66025,-5,0,0,-1.16079,-0.885262,11.4907,9.64181,0,0,
0.012,0.103923,0.94,8.66025,-5,0,0,-1.15964,-0.884298,11.4907,9.64181,0,0,
0.0121,0.104789,0.9395,8.66025,-5,0,0,-1.15849,-0.883334,11.4907,9.64181,0,0,
0.0122,0.105655,0.939,8.66025,-5,0,0,-1.15734,-0.88237,11.4907,9.64181,0,0,
