,Ball 0,,,,,,Ball 1,,,,,,
,m:,1.2,,,,,m:,2.31,,,,,
,r:,1,,,,,r:,1,,,,,
,k:,980,,,,,k:,980,,,,,
,rot: ,true,,,,,,,,,,,
,u_k: ,0.5,,,,,,,,,,,
t,s_x,s_y,v_x,v_y,theta,w,s_x,s_y,v_x,v_y,theta,w,
0.0076,0.12996,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0077,0.13167,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0078,0.13338,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0079,0.13509,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.008,0.1368,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0081,0.13851,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0082,0.14022,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0083,0.14193,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0084,0.14364,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0085,0.14535,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0086,0.14706,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0087,0.14877,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0088,0.15048,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0089,0.15219,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.009,0.1539,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0091,0.15561,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0092,0.15732,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0093,0.15903,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0094,0.16074,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0095,0.16245,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0096,0.16416,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0097,0.16587,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0098,0.16758,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0099,0.16929,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.01,0.171,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0101,0.17271,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0102,0.17442,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0103,0.17613,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
